	objid	ra	dec	u	g	r	i	z	run	rerun	camcol	field	specobjid	class	redshift	plate	mjd	fiberid	t	p	cost	sint	sinp	cosp	x	y
3549	1.23765e+18	230.6841998	0.513032786	22.90147	22.33134	189609.6	19.90988	93064.53371599829	752	301	5	582	4.5173e+18	GALAXY	0.632032	4012	55327	681	1.0577635407948964	4.026198818838444	0.49082184507534576	0.8712599591378186	-0.7736655157038232	-0.6335942469836174	-104669.29589377517	-127808.96476180833
3550	1.23765e+18	230.7027033	0.50314046	24.19394	22.25289	165036.33	19.80941	79577.08273892621	752	301	5	582	4.5173e+18	GALAXY	0.5501211	4012	55327	683	1.0676558667948965	4.026521765836588	0.4821791828437182	0.8760726200676313	-0.7738700927157403	-0.6333443609918159	-91571.34077286172	-111889.08647268251
3551	1.23765e+18	230.7568733	0.603877734	23.28911	23.49023	191973.51	20.66635	109009.97916519466	752	301	5	582	4.51731e+18	GALAXY	0.6399117	4012	55327	713	0.9669185927948966	4.027467210692393	0.5678386521410931	0.823139881875849	-0.7744685389265398	-0.6326124265401295	-99966.08136820051	-122382.33352902796
3552	1.23765e+18	230.8547781	0.601482955	23.5999	22.38498	152163.17999999996	19.57876	86103.93770279622	752	301	5	583	4.51731e+18	GALAXY	0.5072106	4012	55327	715	0.9693133717948965	4.029175971805899	0.565865787655044	0.8244973683169259	-0.77554839124354	-0.6312881218901215	-79200.23450109753	-97298.85978137943
3553	1.23765e+18	230.7841174	0.622879281	20.61159	18.68182	46155.329999999994	17.03419	26925.91796097042	752	301	5	583	3.52524e+17	GALAXY	0.1538511	313	51673	425	0.9479170457948966	4.027942709939135	0.5833761336116635	0.8122021218467154	-0.774769258094018	-0.6322440958304355	-23701.22333099604	-29044.129217145408
3554	1.23765e+18	230.7985455	0.481177275	19.67652	18.70407	22895.936999999998	18.02978	10596.768362083556	752	301	5	583	3.52523e+17	GALAXY	0.07631979	313	51673	423	1.0896190517948965	4.028194527788942	0.4628230922404948	0.8864506671490222	-0.7749284438761777	-0.632048975057824	-12828.140976891493	-15728.03962562758
3555	1.23765e+18	230.8180818	0.554910603	18.95091	17.01286	29247.891	15.54242	15409.757933605724	752	301	5	583	3.52523e+17	GALAXY	0.09749297	313	51673	422	1.0158857237948966	4.0285355005476	0.5268673195481248	0.8499475440238499	-0.775143910307105	-0.6317847088319015	-15705.645453523146	-19269.436661817184
3556	1.23765e+18	230.9022705	0.630502307	24.05729	22.35503	160115.85	20.18164	94396.38926847962	752	301	5	583	4.51732e+18	GALAXY	0.5337195	4012	55327	751	0.9402940197948966	4.030004870555573	0.5895505614745798	0.8077314748510223	-0.7760713986893197	-0.6306450540013795	-81561.71057909778	-100369.78869016143
3557	1.23765e+18	231.1123885	0.505334305	22.76825	20.88616	99398.4	18.51888	48118.76429553321	752	301	5	585	4.51732e+18	GALAXY	0.331328	4012	55327	768	1.0654620217948967	4.033672121473279	0.48409998848606434	0.8750126862782004	-0.77837890857724	-0.6277947711490632	-54602.36295455164	-67699.397375533
3558	1.23765e+18	231.1163065	0.56169564	21.7489	19.87051	98877.21	17.49532	52664.184588079246	752	301	5	585	3.52535e+17	GALAXY	0.3295907	313	51673	466	1.0091006867948966	4.033740503473372	0.532622073257116	0.8463531928688468	-0.7784218366194179	-0.6277415425746907	-52532.57759747922	-65142.26439126631
